Aimé Césaire,acesaire,"poet, politician",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Basse-Pointe,,Martinique,1913-06-25,,,,,,,,
Fort-de-France,,Martinique,1924,,,,,,We do not know the reason for this visit.,,
Paris,,France,1931-10,,,,,,,,
Šibenik,,Croatia,1935-08,,,,,,,,
Paris,,France,1935-09,,,,,,,,
Fort-de-France,,Martinique,1936-07,,,,,,,,
Paris,,France,1936-10,,,,,,,,
Fort-de-France,,Martinique,1939-09,,,,,,,,
Port-au-Prince,,Haiti,1944-05-17,,,,,,,,
Fort-de-France,,Martinique,1944-12-15,,,,,,,,
Port-au-Prince,,Haiti,1945-11-12,,,,,,,,
Miami,,United States,1945-11-17,,,,,,,,
New York,,United States,1945-11-18,,,,,,,,
Paris,,France,1945-12-09,,,,,,,,
Miami,,United States,1946-05,,,,,,,,
Fort-de-France,,Martinique,1946-05-05,,,,,,,,
Paris,,France,1946-07-10,,,,,,,,
Fort-de-France,,Martinique,1946-10-21,,,,,,,,
Paris,,France,1947-01,,,,,,,,
Fort-de-France,,Martinique,1947-10-06,,,,,,,,
Paris,,France,1947-11,,,,,,,,
Wroclaw,,Poland,1948-08-24,,,,,,,,
Auschwitz,,Poland,1948-08-30,,,,,,,,
Paris,,France,1948-09,,,,,,,,
Fort-de-France,,Martinique,1948-11,,,,,,,,
Paris,,France,1949-01,,,,,,,,
Bucarest,,Romania,1949-03-29,,,,,,,,
Paris,,France,1949-04,,,,,,,,
Fort-de-France,,Martinique,1949-09,,,,,,,,
Paris,,France,1950-01,,,,,,,,
Fort-de-France,,Martinique,1950-10-24,,,,,,,,
Paris,,France,1952-06-15,,,,,,,,
Vienna,,Austria,1952-12-12,,,,,,,,
Paris,,France,1952-12-21,,,,,,,,
Fort-de-France,,Martinique,1953-02,,,,,,,,
Moscow,,Russia,1953-03-07,,,,,,,,
Paris,,France,1953-03-14,,,,,,,,
Fort-de-France,,Martinique,1953-04,,,,,,,,
Paris,,France,1953-06,,,,,,,,
Fort-de-France,,Martinique,1953-07-22,,,,,,,,
Paris,,France,1953-09,,,,,,,,
Fort-de-France,,Martinique,1955-03-22,,,,,,,,
Paris,,France,1955-05,,,,,,,,
Fort-de-France,,Martinique,1955-12-09,,,,,,,,
Paris,,France,1956-01,,,,,,,,
Fort-de-France,,Martinique,1956-11-19,,,,,,,,
Paris,,France,1957-07,,,,,,,,
Fort-de-France,,Martinique,1957-08,,,,,,,,
Paris,,France,1958-01,,,,,,,,
Fort-de-France,,Martinique,1958-03,,,,,,,,
Paris,,France,1958-06,,,,,,,,
Brussels,,Belgium,1958-06,,,,,,,,
Paris,,France,1958-06,,,,,,,,
Fort-de-France,,Martinique,1958-06,,,,,,,,
Paris,,France,1959-03,,,,,,,,
Rome,,Italy,1959-03-26,,,,,,,,
Paris,,France,1959-04,,,,,,,,
Fort-de-France,,Martinique,1960-01-08,,,,,,,,
Paris,,France,1960-03,,,,,,,,
Paris,,France,1960-11,,,,,,,,
Fort-de-France,,Martinique,1961-04-11,,,,,,,,
Paris,,France,1961-05,,,,,,,,
Dakar,,Senegal,1961-08,,,,,,,,
Paris,,France,1961-09,,,,,,,,
Berlin,,Germany,1961-09-19,,,,,,,,
Eschenau,,Austria,1961-09,,,,,,,,
Brussels,,Belgium,1961-10,,,,,,,,
Munich,,Germany,1961-11,,,,,,,,
Milan,,Italy,1962-01,,,,,,,,
Naples,,Italy,1962-01,,,,,,,,
Rome,,Italy,1962-01,,,,,,,,
Venice,,Italy,1962-01,,,,,,,,
Fort-de-France,,Martinique,1962-03,,,,,,,,
Paris,,France,1962-04,,,,,,,,
Salvador de Bahia,,Brazil,1962-09,,,,,,,,
Port-of-Spain,,Trinidad,1962-10,,,,,,,,
Munich,,Germany,1962-10,,,,,,,,
Fort-de-France,,Martinique,1962-10,,,,,,,,
Paris,,France,1963-01,,,,,,,,
Hanover,,Germany,1963-04-20,,,,,,,,
Addis-Abeba,,Ethiopia,1963-05,,,,,,,,
Fort-de-France,,Martinique,1963-07,,,,,,,,
Paris,,France,1963-09,,,,,,,,
Fort-de-France,,Martinique,1964-01,,,,,,,,
Salvador de Bahia,,Brazil,1964-02,,,,,,,,
Fort-de-France,,Martinique,1964-03,,,,,,,,
Paris,,France,1964-05,,,,,,,,
Salzburg,,Austria,1964-08,,,,,,,,
Vienna,,Austria,1964-08,,,,,,,,
Berlin,,Germany,1964-09-21,,,,,,,,
Venice,,Italy,1964-09-26,,,,,,,,
Brussels,,Belgium,1964-10-01,,,,,,,,
Fort-de-France,,Martinique,1965-03,,,,,,,,
Paris,,France,1965-05,,,,,,,,
Dakar,,Senegal,1966-03,,,,,,,,
Abidjan,,Ivory Coast,1966-04,,,,,,,,
Paris,,France,1966-10,,,,,,,,
Fort-de-France,,Martinique,1967-01,,,,,,,,
Paris,,France,1967-04,,,,,,,,
Fort-de-France,,Martinique,1967-08,,,,,,,,
Paris,,France,1967-10,,,,,,,,
Havana,,Cuba,1967-12-26,,,,,,,,
Paris,,France,1968-02,,,,,,,,
Fort-de-France,,Martinique,1968-03,,,,,,,,
Paris,,France,1968-04,,,,,,,,
New York,,United States,1968-06,,,,,,,,
Fort-de-France,,Martinique,1968-06,,,,,,,,
Paris,,France,1968-07,,,,,,,,
Paris,,France,1969-01,,,,,,,,
Fort-de-France,,Martinique,1970-07,,,,,,,,
Paris,,France,1970-10,,,,,,,,
Fort-de-France,,Martinique,1971-01,,,,,,,,
Port-of-Spain,,Trinidad,1971-10,,,,,,,,
Paris,,France,1971-10,,,,,,,,
Fort-de-France,,Martinique,1971-12,,,,,,,,
Montreal,,Canada,1972-04,,,,,,,,
Fort-de-France,,Martinique,1972-07,,,,,,,,
Paris,,France,1972-10,,,,,,,,
Fort-de-France,,Martinique,1972-11,,,,,,,,
Fort-de-France,,Martinique,1973-07,,,,,,,,
Paris,,France,1973-10,,,,,,,,
Paris,,France,1974-02,,,,,,,,
Fort-de-France,,Martinique,1974-02,,,,,,,,
Paris,,France,1974-11,,,,,,,,
Fort-de-France,,Martinique,1974-12,,,,,,,,
Port-of-Spain,,Trinidad,1974-12-14,,,,,,,,
Fort-de-France,,Martinique,1974-12,,,,,,,,
Paris,,France,1975-11,,,,,,,,
Fort-de-France,,Martinique,1975-12,,,,,,,,
Paris,,France,1976-05,,,,,,,,
Fort-de-France,,Martinique,1976-12-10,,,,,,,,
Paris,,France,1977-06,,,,,,,,
Dakar,,Senegal,1977-06-09,,,,,,,,
Fort-de-France,,Martinique,1977-07,,,,,,,,
Paris,,France,1977-11,,,,,,,,
Fort-de-France,,Martinique,1978-01,,,,,,,,
Paris,,France,1978-03,,,,,,,,
Geneva,,Switzerland,1978-06,,,,,,,,
Fort-de-France,,Martinique,1978-07-04,,,,,,,,
Paris,,France,1978-11,,,,,,,,
Fort-de-France,,Martinique,1979-01,,,,,,,,
Paris,,France,1979-10,,,,,,,,
Dakar,,Senegal,1979-12-21,,,,,,,,
Fort-de-France,,Martinique,1980-02,,,,,,,,
Paris,,France,1980-06,,,,,,,,
Fort-de-France,,Martinique,1980-06,,,,,,,,
Paris,,France,1981-03-15,,,,,,,,
Fort-de-France,,Martinique,1981-03-29,,,,,,,,
Paris,,France,1981-07-13,,,,,,,,
Fort-de-France,,Martinique,1982-02,,,,,,,,
Angoulême,,France,1982-05-22,,,,,,,,
Paris,,France,1982-09,,,,,,,,
Fort-de-France,,Martinique,1982-12,,,,,,,,
Paris,,France,1982-12-15,,,,,,,,
Fort-de-France,,Martinique,1983-01-10,,,,,,,,
Paris,,France,1983-12,,,,,,,,
Fort-de-France,,Martinique,1984-03,,,,,,,,
Paris,,France,1984-06,,,,,,,,
Fort-de-France,,Martinique,1985-02,,,,,,,,
Paris,,France,1985-04,,,,,,,,
Fort-de-France,,Martinique,1985-03-29,,,,,,,,
Paris,,France,1985-11,,,,,,,,
Fort-de-France,,Martinique,1985-12,,,,,,,,
Paris,,France,1985-12,,,,,,,,
Fort-de-France,,Martinique,1986-01,,,,,,,,
Paris,,France,1986-04,,,,,,,,
Fort-de-France,,Martinique,1986-07,,,,,,,,
Paris,,France,1986-11,,,,,,,,
Fort-de-France,,Martinique,1987-01,,,,,,,,
Miami,,United States,1987-02-26,,,,,,,,
Fort-de-France,,Martinique,1987-07,,,,,,,,
Paris,,France,1989-06,,,,,,,,
Avignon,,France,1989-07,,,,,,,,
Fort-de-France,,Martinique,1989-08,,,,,,,,
Paris,,France,1989-10,,,,,,,,
Fort-de-France,,Martinique,1989-12,,,,,,,,
