Katherine Dunham,kdunham,dancer,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Glen Ellyn, Illinois, USA",1909-06-22,,Aschenbrenner 2002; Beckford 1979,,1914,Aschenbrenner 2002; Beckford 1979,"Born in hospital in Chicago, Illinois but family lived in Glen Ellyn. Beckford has birth at as 1912 and departure to Chicago at age of 5, but Aschenbrenner concords with other sources on 1909 date of birth. Exact dates of childhood residence need further clarification.",glen_ellyn_illinois_usa
"Chicago, Illinois, USA",1914,,Beckford 1979,,1917,Beckford 1979,,chicago_illinois_usa
"Joliet, Illinois, USA",1917,,Aschenbrenner 2002,,1928,Aschenbrenner 2002,,joliet_illinois_usa
"Chicago, Illinois, USA",1929,,Clark and Johnson 2005; ,,1935,Clark and Johnson 2005; Das 2017; Barzel 1983,"Enters University of Chicago in 1929; 1929-01 Performs in ""The Man Who Died at Twelve O'Clock, a one-act play by Paul Green, at the Cube Theatre; 1930-10 Meets Mark Turbyfill at Mary Hunter's Apartment; 1930-02 through 1931-01 Runs a ballet school with Mary Turbyfill; 1930-05-29 Marriager to Jordis McCoo; 1932-12 Negro Dance Group (which Dunham co-directs with Ludmila Speranzeva) performs at the Chicago Beaux Arts Ball, which Chicago Daily News calls ""the first Negro ballet ever danced'; 1934-11-30 Dances title role in Ruth Page's ballet, La Guiablesse",chicago_illinois_usa
"Port-au-Prince, Haiti",1935-06-03,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-06-24,Melville Herskovits Papers/Katherine Mary Dunham Papers,"Fieldwork in Haiti; dates are from letters between Dunham and Herksovits, documenting her arrival and departure",port_au_prince_haiti
"Accompong, Jamaica",1935-07,,"Das 2017, 42-3",,1935-08,"Das 2017, 42-3",Fieldwork in Jamaica,accompong_jamaica
Martinique,1935-08,,"Das 2017, ",,1935-10,"Das 2017, ",Fieldwork in Martinique,martinique
Trinidad,1935-10,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1935-12,Melville Herskovits Papers/Katherine Mary Dunham Papers,Fieldwork in Trinidad,trinidad
Haiti,1935-12,,Melville Herskovits Papers/Katherine Mary Dunham Papers,,1936-04-22,"Melville Herskovits Papers/Katherine Mary Dunham Papers; Ramsey 2015, 58","Fieldwork in Haiti; dates are from letters between Dunham and Herksovits, documenting her arrival and departure; 1936-04-03 Ramsey notes Dunham gives performance in Port-au-Prince",haiti
"Chicago, Illinois, USA",1936,,"Clark and Johnson 2005, xvii",,1936,"Clark and Johnson 2005, xvii",Receives Ph.B. (Bachelor of Philosophy Degree) from University of Chicago,chicago_illinois_usa
"New York, New York, USA",1937-03-07,,"Manning 2001, 504, n18-19",,1937-03-07,"Manning 2001, 504, n18-19",Performs as part of Negro Dance Evening at the Young Men's Hebrew Association,new_york_new_york_usa
"Chicago, Illinois, USA",1938-01-27,,"Das 2017, 77-9",,1938-02-06,"Das 2017, 77-9",L'Ag'ya performed at Federal Theatre in Chicago; Dunham appointed Director of the Negro Unit of the Chicago Branch of the Federal Theatre Project,chicago_illinois_usa
"Washington, D.C., USA",1938-04-30,,"Ramsey 2014, 62",,1938-04-30,"Ramsey 2014, 62","Performs for Haitian Minister at the Haitian Coffee Festival in Washington, D.C.",washington_dc._usa
"Chicago, Illinois, USA",1938-06-02,,"Das 2017, 72",,1938-06-02,"Das 2017, 72","Performs at Benefit for Children in Spanish War Area, sponsored by Medical Bureau to Aid Spanish Democracy. Repeated 8 Oct 1938",chicago_illinois_usa
"New York, New York, USA",1939,,Aschenbrenner 2001,,1941-02,Aschenbrenner 2001; Das 2017,"Moves to New York to choreograph for ILGWU's revue, Pins and Needles, at the Labor Stage (Windsor Theater); 1940-02-18 Premiers Tropics and Le Jazz ""Hot"" at the Windsor Theater; runs for 12 Sundays; Dunham proclaimed founder of a new genre: ""Negro Dance""; Cabin in the Sky premieres on Broadway, Dunham in role of Georgia Brown; 1940-10-25 George Balanchine credited choreographer and director; Dunham uncredited co-choroegrapher",new_york_new_york_usa
USA,1941-03,,Das 2017,,1941-06,Das 2017,National tour of Cabin in the Sky,usa
"Los Angeles, California, USA",1941-06-11,,Das 2017; KDP-SIUC,,1942-03,Das 2017; KDP-SIUC,"1941-06-11 through 17 Films Carnival of Rhythm, a short dance film for Warner Brothers; 1941-10-18 through Nov. Dunham Company performs at the Philharmonic, then moves to Biltmore Theatre; 1942-03 Choreographs Pardon My Sarong",los_angeles_california_usa
"Vancouver, Canada",1942-05,,KDP-SIUC,,1942-05,KDP-SIUC,Performs at Beacon Theatre,vancouver_canada
"Seattle, Washington, USA",1942-06,,KDP-SIUC,,1942-06,KDP-SIUC,Performs at Moore Theatre and in Fort Lewis for military troops,seattle_washington_usa
"San Francisco, California, USA",1942-08,,KDP-SIUC,,1942-08,KDP-SIUC,Performs at La Fiesta,san_francisco_california_usa
"Carmel, California, USA",1942-12,,KDP-SIUC,,1942-12,KDP-SIUC,Performs at Carmel Playhouse,carmel_california_usa
"Oakland, California, USA",1943-03,,KDP-SIUC,,1943-03,KDP-SIUC,Performs at Orpheum Theatre,oakland_california_usa
"Spokane, Washington, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Spokane,spokane_washington_usa
"Portland, Oregon, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Portland,portland_oregon_usa
"Seattle, Washington, USA",1943-04,,KDP-SIUC,,1943-04,KDP-SIUC,Performs in Seattle,seattle_washington_usa
"San Francisco, California, USA",1943-05,,KDP-SIUC,,1943-05,KDP-SIUC,Performs at Mark Hopkins Theatre in San Francisco,san_francisco_california_usa
"Chicago, Illinois, USA",1943-07,,KDP-SIUC,,1943-07,KDP-SIUC,Performs at Chez Paree nightclub,chicago_illinois_usa
"Covington, Kentucky, USA",1943-08-13,,KDP-SIUC,,1943-09,KDP-SIUC,Performs at Lookout House in Covington,covington_kentucky_usa
"Cincinnati, Ohio, USA",1943-09,,KDP-SIUC,,1943-09,KDP-SIUC,Performs in Cincinnati,cincinnati_ohio_usa
"New York, New York, USA",1943-09-19,,"Burt 2001, 82",,1943-12-04,"Burt 2001, 82",Premiers Tropical Revue at Martin Beck Theatre; runs until December 4; also sets up first Dunham school in 1943 in Caravan Hall according to Love Letters from I Tatti Vol 1,new_york_new_york_usa
"Toronto, Canada",1943-12,,KDP-SIUC,,1943-12,KDP-SIUC,Tropical Revue tour in Toronto,toronto_canada
"Boston, Massachusetts, USA",1944-01-17,,"Burt 2001, 82, 89",,1944-01-23,"Burt 2001, 82, 89",Performs Rites de Passage at Boston Opera House; end date unclear but newspaper article from Jan 23 suggests at least that long,boston_massachusetts_usa
"Philadelphia, Pennsylvania, USA",1944-01-24,,KDP-SIUC,,1944-02,KDP-SIUC,Tropical Revue in Philadelphia,philadelphia_pennsylvania_usa
"Pittsburgh, Pennsylvania, USA",1944-02-14,,KDP-SIUC,,1944-02-14,KDP-SIUC,Tropical Revue tour,pittsburgh_pennsylvania_usa
"Cleveland, Ohio, USA",1944-02-20,,KDP-SIUC,,1944-02-20,KDP-SIUC,Tropical Revue tour,cleveland_ohio_usa
"St. Louis, Missouri, USA",1944-02-21,,KDP-SIUC,,1944-02-26,KDP-SIUC,Tropical Revue tour,st_louis_missouri_usa
"Los Angeles, California, USA",1944-03,,KDP-SIUC,,1944-03,KDP-SIUC,Tropical Revue tour,los_angeles_california_usa
"San Francisco, California, USA",1944-04,,KDP-SIUC,,1944-04,KDP-SIUC,Tropical Revue tour,san_francisco_california_usa
"San Diego, California, USA",1944-04,,KDP-SIUC,,1944-04,KDP-SIUC,Tropical Revue tour,san_diego_california_usa
"Chicago, Illinois, USA",1944-06,,KDP-SIUC,,1944-06,KDP-SIUC,Tropical Revue tour,chicago_illinois_usa
"Los Angeles, California, USA",1944-07,,KDP-SIUC,,1944-07,KDP-SIUC,Performance at Hollywood Bowl,los_angeles_california_usa
"St. Paul, Minnesota, USA",1944-09-29,,KDP-SIUC,,1944-09,KDP-SIUC,Tropical Revue tour,st_paul_minnesota_usa
"Kansas City, USA",1944-10,,KDP-SIUC,,1944-10,KDP-SIUC,Tropical Revue tour,kansas_city_usa
"Louisville, Kentucky, USA",1944-10-19,,"Clark and Johnson 2005, 255",,1944-10-20,"Clark and Johnson 2005, 255",Performs at Memorial Auditorium and tells audience she will not return until audiences are no longer segregated in the theatre,louisville_kentucky_usa
"New York, New York, USA",1944-12,,KDP-SIUC,,1944-12,KDP-SIUC,"New Tropical Revue on Broadway; in Love Letters from I Tatti Vol 1 mentions ""late 1944"" starring in Carib Song on Broadway, and night club engagements",new_york_new_york_usa
"San Francisco, California, USA",1945-05,,Das 2017,,1945-06,Das 2017,Hosting party for delegates who are writing the United Nations charter,san_francisco_california_usa
"New Haven, Connecticut, USA",1945-09,,KDP-SIUC,,1945-09,KDP-SIUC,Previewing Carib Song in New Haven,new_haven_connecticut_usa
"Boston, Massachusetts, USA",1945-09,,KDP-SIUC,,1945-09,KDP-SIUC,Previewing Carib Song in Boston,boston_massachusetts_usa
"New York, New York, USA",1945-09-27,,Das 2017,,1945-10,Das 2017,"Carib Song opens at Adelphia Theatre; reviewed poorly, closes after a month",new_york_new_york_usa
"New Haven, Connecticut, USA",1946-04-16,,Das 2017,,1946-04-16,Das 2017,Rehearsing Windy City,new_haven_connecticut_usa
"Philadelphia, Pennsylvania, USA",1946-09,,Das 2017,,1946-09,Das 2017,Opening of Bal Negre at the Shubert,philadelphia_pennsylvania_usa
"Indianapolis, Indiana, USA",1946-10,,Das 2017,,1946-10,Das 2017,On tour with Bal Negre in Indianapolis and other Midwestern cities,indianapolis_indiana_usa
"New York, New York, USA",1946-11-07,,"Clark and Johnson 2005, 292; Das 2017",,1947-03,"Clark and Johnson 2005, 292; Das 2017",1947-11-07 through November Performances of the Bal Nègre at the Belasco Theatre; 1947-02 Nightclub performances at La Martinique; 1947-03 Nightclub performances at the Roxy,new_york_new_york_usa
"Mexico City, Mexico",1947-04-16,,Das 2017,,1947-09,Das 2017,"Premieres Bal Negre in Mexico City on April 16 without sets or costumes; performs for next seven months at Teatro Iris, Teatro Bellas Artes, and Ciro's Nightclub",mexico_city_mexico
"Las Vegas, Nevada, USA",1947-11-25,,Das 2017,,1947-11-25,Das 2017,Opening at El Rancho nightclub; one of the first major performing acts in Las Vegas,las_vegas_nevada_usa
"Los Angeles, California, USA",1947-12,,Das 2017,,1947-12,Das 2017,Performances at Ciro's Nighclub in HOllywood,los_angeles_california_usa
"Seattle, Washington, USA",1948-01-25,,Das 2017,,1948-01-25,Das 2017,Performing the New Tropical Revue,seattle_washington_usa
"Chicago, Illinois, USA",1948-02,,Das 2017,,1948-02,Das 2017,Performing the New Tropical Revue,chicago_illinois_usa
"Michigan, USA",1948-03-27,,Das 2017,,1948-03-27,Das 2017,New Tropical Revue in Michigan,michigan_usa
"Pittsburgh, Pennsylvania, USA",1948-05-03,,Das 2017,,1948-05-03,Das 2017,New Tropical Revue at Nixon Theatre in Pittsburg,pittsburgh_pennsylvania_usa
"London, England",1948-06-03,,"Clark and Johnson 2005, 306",,1948-09,"Clark and Johnson 2005, 306",Performances at Prince of Wales Theatre,london_england
"English Provinces, England",1948-10,,Das 2017,,1948-10,Das 2017,Touring the English Provinces with Carribean Rhapsody,english_provinces_england
"Paris, France",1948-11-01,,Love Letters from I Tatti Vol 1; Das 2017,,1949-12,Love Letters from I Tatti Vol 1; Das 2017,"1948-11-01 Writes to Berenson from Theatre de Paris, Rue Blanche, Paris; 1948-11-25 Opens Rhapsodie Caraïbe at the Theatre de Paris; 1948-11-30 Writes Berenson that she is preparing lectures for UNESCO & at Sorbonne",paris_france
"Brussels, Belgium",1949-01-28,,Das 2017,,1948-01,Das 2017,Performances at Alhambra theater; queen invited,brussels_belgium
"Paris, France",1949-02-17,,Das 2017,,1949-03-06,Das 2017,Performances at Palais de Chaillot Theatre,paris_france
"Rome, Italy",1949-03,,Das 2017,,1949-04,Das 2017,Performances of Caribbean Rhapsody; meets Bernard Berenson,rome_italy
"Stockholm, Sweden",1949-05,,Das 2017; Love Letters from I Tatti Vol 1,1949-06-17,,Das 2017; Love Letters from I Tatti Vol 1,"Performances of Caribbean Rhapsody; letter to Berenson from Stockholm dated 20 May, 1949 in Love Letters from I Tatti Vol 1949-06-17 Letter to Berenson sent from Cirkus Theatre, Stockholm",stockholm_sweden
"Joliet, Illinois, USA",,1949-06-18,Love Letters from I Tatti Vol 1,,1949-06-30,Love Letters from I Tatti Vol 1,Writes to Berenson that she needs to return to see family in Joliet,joliet_illinois_usa
"New York, New York, USA",1949-07-01,,Love Letters from I Tatti Vol 1,,1949-07-09,Love Letters from I Tatti Vol 1,Staying at 319 E. 72st St according to letter from Mary Hatton on July 1st,new_york_new_york_usa
"Port-au-Prince, Haiti",1949-07,,Das 2017,,1949-07,Das 2017,Brief visit to Haiti; decides to buy Habitation Leclerc; receives Legion de Honneur from President Estimé,port_au_prince_haiti
"Amsterdam, Holland",1949-07-15,,Das 2017,,1949-07,Das 2017,"Caribbean Rhapsody in Amsterdam; sends letter to Berenson (in Love Letters from I Tatti Vol 1) from Stadschouwburg Theatre, Amsterdam",amsterdam_holland
"Paris, France",1949-10-19,,Das 2017,,1950-01-17,Das 2017; Love Letters from I Tatti Vol 1,"New Caribbean Rhapsody at Theatre de Paris and Palais de Chaillot; Writes four letters to Berenson in Love Letters from I Tatti on 9, 15 and 26 December & 17 January 1950 c/o Felix Marouani 24 Rue Marbeuf",paris_france
"Turin, Italy",1950-02-08,,Love Letters from I Tatti Vol 1; Das 2017,,1950-02-08,Love Letters from I Tatti Vol 1; Das 2017,"Lists tour dates in letter to Berenson; from Das note that this is tour of Caribbean Rhapsody in Italy; note that footage in LOC called ""Europe 1950"" is probably from this tour",turin_italy
"Naples, Italy",1950-02-11,,Love Letters from I Tatti Vol 1,,1950-02-12,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,naples_italy
"Rome, Italy",1950-02-13,,Love Letters from I Tatti Vol 1,,1950-02-21,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,rome_italy
