Katherine Dunham,kdunham,dancer,,,,,,
"Florence, Italy",1950-02-23,,Love Letters from I Tatti Vol 1,,1950-02-26,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950; also letters specify lunch with Berenson on 2-24 in Florence,florence_italy
"Bologna, Italy",1950-02-27,,Love Letters from I Tatti Vol 1,,1950-02-28,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,bologna_italy
"Milan, Italy",1950-03-02,,Das 2017; Love Letters from I Tatti,,1950-03-12,Das 2017; Love Letters from I Tatti,Performances an an art gallery showing of her paintings; dates also listed in letter to Berenson from Paris on 17 January 1950 ,milan_italy
"New York, New York, USA",1950-04-19,,Das 2017,,1950-05-20,Das 2017,Rhapsodie Caraïbe on Broadway,new_york_new_york_usa
"Sao Paolo, Brazil",1950-07-10,,Das 2017,,1950-07-18,Das 2017,Dunham's hotel reservation at the Esplanada canceled; arranges protest with Gilberto Freyre; national anti-discrimination law passed as a result,sao_paolo_brazil
"Buenos Aires, Argentina",1950-08,,Love Letters from I Tatti Vol 1,,1950-08,Love Letters from I Tatti Vol 1,"Telegram sent to Berenson from Hotel Crillon, Buenos Aires",buenos_aires_argentina
"Montevideo, Uruguay",1950-08,,Das 2017,,1950-08,Das 2017; Love Letters from I Tatti Vol 1,"On tour in Uruguay; 1950-08-17 Letter Sent to Berenson from Teatro Artigas, Montevideo",montevideo_uruguay
"Buenos Aires, Argentina",1950-10,,"Clark and Johnson 2005, 348",,1950-12,"Clark and Johnson 2005, 348; Love Letters from I Tatti Vol 1","(Timing described as ""end of 1950"") Researches, composes, choreographs, designs and rehearses Southland; 1950-11-14 letter to Berenson in Love Letters from I Tatti Vol 1",buenos_aires_argentina
"Santiago, Chile",1950-11-28,,Das 2017,,1950-12-09,"Das 2017; Clark and Johnson 2005, 345",Arrives in Chile; 1950-12-19 Premiers Southland at Teatro Municipal ,santiago_chile
"Mar de Plata, Argentina",1950-12-14,,Das 2017,,1950-12-31,Das 2017,On vacation in Mar de Plata; snubbed by U.S. embassy officials,mar_de_plata_argentina
"Lima, Peru",1951-01,,Das 2017,,1951-01,Das 2017,Performances in Peru; welcomed warmly by U.S. ambassador,lima_peru
Colombia,1951-02,,Das 2017,,1951-02,Das 2017,Performances in Colombia,colombia
Ecuador,1951-03,,Das 2017,,1951-03,Das 2017,Performances in Ecuador,ecuador
"Kingston, Jamaica",1951-04,,"Das 2017; Love Letters from I Tatti, Vol 1",,1951-04,"Das 2017; Love Letters from I Tatti, Vol 1","Performances in Jamaica; 1951-04-03 Letter sent by assistant to Berenson says she is recovering from emergency appendix operation at the Andrews Memorial Hospital, Hope Road, Half Way Tree, Kingston, Jamaica. This is actually dated 1950 in the manuscript but doesn't make sense that this would be the timing, so seems error on Dunham's part in later manuscript. ",kingston_jamaica
"Port-au-Prince, Haiti",1951-05,,"Dunham, ""Love Letters From I Tatti""",,1951-08,Das 2017; Love Letters from I Tatti  vol. 1,Performances and Recuperation in Haiti; finalizes purchase of Leclerc; 1951-06-13 Writes to Berenson from Maison Le Clerc,port_au_prince_haiti
"Las Vegas, Nevada, USA",1951-08-15,,Das 2017,,1951-09,Das 2017,Performances at El Rancho nightclub,las_vegas_nevada_usa
"Los Angeles, California, USA",1951-09,,Das 2017,,1951-09,Das 2017,Performances at Ciro's Nightclub,los_angeles_california_usa
"Paris, France",1951-10-29,,Das 2017,,1951-12-14,Love Letters from I Tatti vol 1; Das 2017,"1951-10-29 and 1951-11-17 Writes to Berenson from Théâtre des Champs Elysées ; Performances at Théâtre des Champs Elysées; 1951-12-14 section in Love Letters from I Tatti describing several weeks in Paris, dated 14 Dec 1950 (but seems error on Dunham's part as must be 1951). Describes time with Marie-Christine, who she says was ""just over 4 years old."" Also writes letter to Berenson dated 14 December 1951 from Theatre des Champs Elysees, which confirms date error in header. ",paris_france
"London, England",1952-01-24,,Das 2017,,1952-02-10,Love Letters from I Tatti vol 1 and vol 2,"1952-01-24 Writes to Berenson from 13 Little Chester St, London S.W. 1. ""It looks like we will be at this adress for some little time then""; 1952-02-10 Writes 2 letters to Berenson from 13 Little Chester St",london_england
England,1952-02,,Das 2017,,1952-03,Das 2017,Touring England,england
Ireland,1952-03,,Das 2017,,1952-04,Das 2017,Touring Ireland,ireland
"Belfast, Northern Ireland",1952-04-26,,Das 2017,,1952-04-26,Love Letters from I Tatti vol 2,"Writes to Berenson from Grand Opera House, Belfast",belfast_northern_ireland
"Bournemouth, England",1952-05,,Das 2017,,1952-06,Das 2017,Touring English provinces,bournemouth_england
"Copenhagen, Denmark",1952-07,,"Dunham, ""Love Letters From I Tatti""",,1952-08,Das 2017; Love Letters from I Tatti vol 2,Performances in Copenhagen; 1952-07-14 Writes to Berenson ,copenhagen_denmark
"Milan, Italy",1952-10-09,,"Dunham, ""Love Letters From I Tatti""",,1952-10-09,Loves Letters from I Tatti vol 2,Writes Berenson from Milan,milan_italy
"Genoa, Italy",1952-10,,"Dunham, ""Love Letters From I Tatti""",,1952-11,"Clark and Johnson 2005, 353",Upsetting racial incident that inspires Dunham to restage Southland,genoa_italy
"Zurich, Switzerland",1952-11,,"Dunham, ""Love Letters From I Tatti""",,1952-11,Das 2017; Love Letters from I Tatti vol 2,"Reheases Southland; 1952-11-18 Writes to Berenson from Zurich (also other letters and section just dated ""November 1952"")",zurich_switzerland
"Lecce, Italy",1952-12-03,,"Dunham, ""Love Letters from I Tatti""",,1952-12-03,Love Letters from I Tatti vol 2,"Telegram sent to Berenson from Teatro Ariston, Lecce, Italia",lecce_italy
"Naples, Italy",1952-12-09,,,,1952-12-09,Love Letters from I Tatti vol 2,Writes to Berenson from Naples,naples_italy
"Florence, Italy",1952-12-11,,,,1952-12-11,Love Letters from I Tatti vol 2,Telegram sent from Lecce on 12-03 announces to Berenson will be performing at Florence Teatre Pergola on 12-11,florence_italy
"Paris, France",1953-01-09,,,,1953-02-14,"Clark and Johnson 2005, 353; Love Letters from I Tatti vol 2","Performs Southland at Palais Chaillot; departure date is estimate and need to figure out how many weeks of performance; premier was January 09 1953. Says she performed for 6 weeks; 1953-02-01 writes to Berenson from c/o Felix Marouani 24 Rue Marbeuf, about Southland; 1953-02-14 telegram to Berenson from Paris",paris_france
"Las Vegas, Nevada, USA",1953-03,,,,1953-06,Das 2017; Love Letters from I Tatti,"Nightclub performances; 1953-05-30 Writes to Berenson from El Ranco Vegas, Las Vegas; ",las_vegas_nevada_usa
"Reno, Nevada, USA",1953-06-17,,,,1953-06-17,Love Letters from I Tatti vol 2,"Writes to Berenson from Mapes Hotel, Reno",reno_nevada_usa
"Los Angeles, California, USA",1953-10-12,,,,1953-10-22,Das 2017,4-5 shows a day in variety theatre,los_angeles_california_usa
"Rome, Italy",1953-11,,,,1954-02,Das 2017,Rehearsing film of Mambo,rome_italy
Germany,1954-04,,,,1954-04,Fischer-Hornung,Dunham's tours of Germany,germany
Switzerland,1954-06,,,,1954-06,"Dunham, ""Love Letters From I Tatti""",Performing in Switzerland,switzerland
"Montevideo, Uruguay",1954-08-28,,,,1954-09-04,"Clark and Johnson 2005, 356",Start of second Latin America tour; performs at same time as José Limón,montevideo_uruguay
"Buenos Aires, Argentina",1954-10,,,,1954-10,"Dunham, ""Love Letters From I Tatti""","Premieres ""Tango"" in Buenos Aires",buenos_aires_argentina
"Las Vegas, Nevada, USA",1955-02-22,,,,1955-03-14,"Dunham, ""Love Letters From I Tatti""",Performing at Sahara nightclub,las_vegas_nevada_usa
"Los Angeles, California, USA",1955-03,,,,1955-04,"Dunham, ""Love Letters From I Tatti""",Performing at Ciro's nightclub,los_angeles_california_usa
"Mexico City, Mexico",1955-05,,,,1955-07,"Dunham, ""Love Letters From I Tatti""","Performing at Auditorio Nacional, Teatro Lirico, and Versailles nightclub",mexico_city_mexico
"Los Angeles, California, USA",1955-08,,,,1955-09,"Dunham, ""Love Letters From I Tatti""",Performing at Greek Theater in Los Angeles and Ciro's Nightclub; Period of financial crisis for company; performances at Curran and Geary theatres,los_angeles_california_usa
"Chicago, Illinois, USA",1955-10-31,,,,1955-10-31,"Dunham, ""Love Letters From I Tatti""",Opening new show under contract with Hurok,chicago_illinois_usa
"Detroit, Michigan, USA",1955-11,,,,1955-11,"Dunham, ""Love Letters From I Tatti""",Performing in Detroit,detroit_michigan_usa
"New York, New York, USA",1955-12,,,,1955-12,"Dunham, ""Love Letters From I Tatti""",Performing in New York,new_york_new_york_usa
"Miami, Florida, USA",1956-01-05,,,,1956-01-05,Das 2017,Performing at Latin Quarter nightclub and Eden Roc hotel,miami_florida_usa
"Toronto, Canada",1956-02-12,,,,1956-02-12,Das 2017,"Films TV special for Canada Broadcasting Corporation at Odeon Theatre, Toronto",toronto_canada
New York,1956-02-24,,,,1956-03-01,Das 2017,Apollo Theater in New York,new_york
Mexico,1956-03-01,,,,1956-03-23,Das 2017,Rest and relaxation,mexico
"Palm Springs, Florida, USA",1956-04-01,,"Clark and Johnson 2005, fig. 22 (p. 170), 407",,1956-04-15,Das 2017,Performances at the Chi Chi Club,palm_springs_florida_usa
"Las Vegas, Nevada, USA",1956-04-17,,,,1956-05-06,Das 2017,Performances at the Sahara Hotel,las_vegas_nevada_usa
"Melbourne, Australia",,1956-03-13,Das 2017,1956-11-08,,Das 2017,Beginning of tour in Australia,melbourne_australia
"Sydney, Australia",,1956-04-12,Love Letters from I Tatti vol 3,1958-11,,,,sydney_australia
"Perth, Australia",,1956-04-24,Love Letters from I Tatti Vol 3,1956-12,,,,perth_australia
"Sydney, Australia",,1956-05-20,Love Letters from I Tatti Vol 3,1957-03-09,,,,sydney_australia
"Auckland, New Zealand",1956-03-13,,Love Letters from I Tatti Vol 3,,1957-05,,,auckland_new_zealand
"Wellington, New Zealand",1956-04-12,,Love Letters from I Tatti Vol 3,,1956-04-24,,,wellington_new_zealand
"Christchurch, New Zealand",1956-04-24,,Love Letters from I Tatti Vol 3,,1956-05-07,,,christchurch_new_zealand
"Sydney, Australia",1956-05-20,,Love Letters from I Tatti Vol 3,,1956-05-29,,,sydney_australia
"Manila, Philippines",,,Love Letters from I Tatti Vol 3,,1956-05-31,,,manila_philippines
Hong Kong,,1956-06-01,Love Letters from I Tatti Vol 3,,1956-06-02,Das 2017,Company tours New Zealand,hong_kong
Singapore,1957-05,1957-06-02,"Clark and Johnson 2005, 385",1957-06-18,,"Dunham, ""Love Letters From I Tatti""",Performances in Singapore,singapore
Malay Federation (Malaysia),,1957-06-19,,,1957-07,"Dunham, ""Love Letters From I Tatti""",Tours,malay_federation_(malaysia)
Hong Kong,1957-07,,,,1957-07,"Dunham, ""Love Letters From I Tatti""",Performing in Hong Kong,hong_kong
Philippines,1957-08,,,,1957-08,"Dunham, ""Love Letters From I Tatti""",Performing in the Philippines,philippines
"Seoul, Korea",1957-09,,,,1957-09,"Dunham, ""Love Letters From I Tatti""","Performs at U.S. military base in Seoul, and at the national university",seoul_korea
"Okinawa, Japan",1957-09,,,,1957-09,"Dunham, ""Love Letters From I Tatti""",Performing at U.S. military base in Okinawa,okinawa_japan
"Tokyo, Japan",1957-11,,,,1957-11,"Dunham, ""Love Letters from I Tatti""",Performances in Japan; Company dissolves,tokyo_japan
"Los Angeles, California, USA",,,,,,,,los_angeles_california_usa
Haiti,,,,,,,,haiti
"New York, New York, USA",,,"Clark and Johnson, 410, 412",,,,,new_york_new_york_usa
England,,,Das 2017,,,,,england
Scotland,,,Das 2017,,,,,scotland
England,,,Das 2017,,,,,england
"Copenhagen, Denmark",,,Das 2017,,,,,copenhagen_denmark
"Berlin, Germany",,,,,,,,berlin_germany
"Paris, France",,,,,,,,paris_france
Greece,,,,,,,,greece
Lebanon,,,,,,,,lebanon
"Paris, France",,,,,,,,paris_france
Italy,,,,,,,,italy
Switzerland,,,,,,,,switzerland
Germany,,,,,,,,germany
Austria,,,,,,,,austria
Yugoslavia,,,,,,,,yugoslavia
Spain,,,,,,,,spain
Haiti,,,,,,,,haiti
"New York, New York, USA",,,,,,,,new_york_new_york_usa
Puerto Rico,,,,,,,,puerto_rico
Haiti,,,,,,,,haiti
"Dakar, Senegal",1962-06,,,,1962-07,"Clark and Johnson 2005, fig. 22 (p. 170), 407",Photograph of meeting with Senghor. The months here are place-holders: need to identify precise dates of Senegal travel; took place before premier of Bamboche as part of preparation for that piece,dakar_senegal
Nigeria,,,,,,,,nigeria
Morocco,,,,,,,,morocco
Haiti,,,,,,,,haiti
"New York, New York, USA",1962-10-22,,,,1962-10-28,"Clark and Johnson 2005, 385",Performance of Bamboche at the 54th St. Theatre,new_york_new_york_usa
"Carbondale, Illinois, USA",,,,,,,,carbondale_illinois_usa
"New York, New York, USA",,1963,Kaiso Chronology,1963,,Kaiso Chronology,Choreographs Aïda for Metropolitan Opera House,new_york_new_york_usa
"Rome, Italy",,,,,,,,rome_italy
"Stockholm, Sweden",,,,,,,,stockholm_sweden
"New York, New York, USA",,,,,,,,new_york_new_york_usa
"Carbondale, Illinois, USA",,,,,,,,carbondale_illinois_usa
"New York, New York, USA",,,,,,,,new_york_new_york_usa
"Carbondale, Illinois, USA",,,,,,,,carbondale_illinois_usa
"Dakar, Senegal",1965-10,,,,1965-12,"Clark and Johnson, 410, 412","Training the National Ballet of Senegal; also spoke at the first World Black and African Festival of Arts and Culture, Dakar, Senegal, April 3, 1966. Dates of stay approximate",dakar_senegal
"Paris, France",1966-01,,,,1966-02,Das 2017,Knee surgery and recovery,paris_france
"Dakar, Senegal",1966-03,,,,1967-02,Das 2017,Setting up and Running Festival; Writing Island Possessed,dakar_senegal
"Carbondale, Illinois, USA",1967-04,,,,1967-11,Das 2017,Setting up East St. Louis Program,carbondale_illinois_usa
"East St. Louis, Illinois, USA",1967-06,,,,1967-11,Das 2017,Establishes the PATC in East St. Louis; moves to East St. Louis 11-1967,east_st_louis_illinois_usa
"Washington, D.C., USA",,1970,Aschenbrenner 2002,1970,,Aschenbrenner 2002,Attends White House Conference on Children,washington_dc._usa
