René Depestre,rdepestre,"writer, activist",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Jacmel, Haiti",,1926-08-29,Couffon,1940,,Couffon,attends Frères Bretons de l'Instruction Chrétienne; attends Pinchinat High School and Pétion High School,jacmel_haiti
"Port-au-Prince, Haiti",,1940,Couffon,1946-09-27,,"Depestre 2006, 55.","founds journal La Ruche; takes classes with Dewitt Peters; meets Nicolás Guillén (1942); invited to PAP by Jacques Roumain; attends Alejo Carpentier's lecture (1943); attends Aimé Césaire's seminar (May-Dec 1944); meets Jacques Stephen Alexis, Theodore Baker, Gérald Bloncourt, Gérard Chenet (co-editors of La Ruche); meets L'Aurore Saint-Juste",port_au_prince_haiti
"New York, New York, USA",,1946,Couffon,1946,,Couffon,arrives from Port-au-Prince; departs to Cherbourg via ship,new_york_new_york_usa
"Cherbourg, France",,1946,Couffon,1946,,Couffon,"arrives via ship from New York; continues to Paris, is picked up by Aimé Césaire",cherbourg_france
"Paris, France",,1946,Couffon,1947,,Couffon,"connects w/Gérald Bloncourt, Jacques Stephen Alexis; spends time w/Francis Joachim Roy, members of French intelligentsia etc; enrolls at Sciences Politiques, La Sorbonne",paris_france
"Prague, Czech Republic",,1947,Couffon,1947,,Couffon,"attends International Festival of Students and Youth on behalf of World Federation of Democratic Youth; spends summer laying rail tracks from Samac to Sarajevo,Yugoslavia",prague_czech_republic
"Paris, France",,1947-04-11,"Depestre, Métier à métisser (153)",1950,,,"joins the ""Group of Young Poets"" created by Elsa Triolet; attends Sorbonne lecture by Tristan Tzara April 11, 1947 at La Sorbonne",paris_france
"Prague, Czech Republic",,1950-12,"Depestre, Bonsoir Tendresse (43)",1951-08-05,,,resides at Chateau de Dobris ,prague_czech_republic
"Berlin, Germany",,,Couffon,,1951-08-19,,attends Third World Festival of Youth and Students for Peace; encounters Nicolàs Guillén at festival ,berlin_germany
"Prague, Czech Republic",,1951-08-26,Couffon,1952-03,,,is expelled for criticism of Stalinist purges,prague_czech_republic
"Milan, Italy",,1952-03,Couffon,1952-03,,,,milan_italy
"Genoa, Italy",,1952-03,Couffon,1952-03-09,,"Depestre, Bonsoir Tendresse (57)",embarks on the Francesco Morosini; learns of Batista's coup onboard ship March 10,genoa_italy
"Havana, Cuba",,1952-03-11,Couffon,1952-05,,"Depestre, Bonsoir Tendresse (59)",is invited by Guillén; arrested by Fulgencio Batista; imprisoned for two months; expelled,havana_cuba
"Genoa, Italy",,1952-05,"Depestre, Bonsoir Tendresse",1952-06,,"Depestre, Bonsoir Tendresse",disembarks from the Francesco Morosini,genoa_italy
"Paris, France",,1952-06,"Depestre, Bonsoir Tendresse",1952-12,,Couffon,attends Maison de la pensée française; connects w/Aragon and Bloncourt; is discovered walking on Pont Saint Michel and expelled from France,paris_france
"Vienna, Austria",,1952-12,Couffon,1952-12,,Couffon,attends World Peace Council 12/12-12/19,vienna_austria
"Prague, Czech Republic",,1952-12,Couffon,1952-12,,Couffon,,prague_czech_republic
"Rome, Italy",,1952-12,"Depestre, Bonsoir Tendresse",1952-12,,"Depestre, Bonsoir Tendresse",passes through on the invitation of painter Renato Guttuso; stays in the Alcron Hotel,rome_italy
"Santiago, Chile",,1952-12,Couffon,1953-05-02,,"Depestre archive, BFM Limoges (programme del Congreso Continental de Cultura)","organizes Congreso Continental de la Cultura w/Pablo Neruda and Jorge Amado (April 6-May 2, 1953)",santiago_chile
"Buenos Aires, Argentina",,1953,"Depestre, Bonsoir, tendresse",1953-07,,"Depestre, Bonsoir, tendresse (182)",,buenos_aires_argentina
"Sao Paolo, Brazil",,1954,Couffon,1955-05-31,,"Depestre archive, BFM Limoges, dated poem ""Lettre à ma mère""","engages as militant in Brazilian Communist Party; writes under the name ""Walter Miranda""",sao_paolo_brazil
"Paris, France",,1955-10-24,letter dated 1955-10-24 and letter dated 1955-12-03 from Charles Dobzynski ,1955-10-18,,"dated essay,""Réponse à Aimé Césaire,"" Présence Africaine",receives a visa to enter France thanks to Léopold Sedar Senghor's intervention,paris_france
"Andé, France",,1956-09,Couffon,1956,,Couffon,"resides at Moulin d'Andé w/Richard Wright, Maurice Pons, Suzanne Lipinska",ande_france
"Paris, France",,1956,Couffon,1957,,Couffon,participates in First International Conference of Negro Writers and Artists organized by Présence Africaine,paris_france
"Port-au-Prince, Haiti",1957-12,,Île-en-île,1959-03-22,,Couffon,is invited by François Duvalier to return from exile and assume post of Foreign Affairs Minister; debates with JS Alexis in Le Nouvelliste (1958),port_au_prince_haiti
"Havana, Cuba",1959-03-16,,"Couffon RD (60); Depestre Bonsoir, tendresse (87); ""Lettre"" (113)",1960,,Couffon,"is invited to Cuba by Che Guevara on Guillén's recommendation; assumes role in the National Press; serves as Minister of Exterior Relations, as journalist for Revolución and Hoy, as broadcaster on Radio Cuba",havana_cuba
"Moscow, Russia",,1960,Île-en-île,1960,,Île-en-île,is sent to USSR and Asia as correspondent for Revolución,moscow_russia
"Shanghai, China",,1960-11,"Depestre, Rage de vivre (163)",1960-11,,"Depestre, Rage de vivre (163)",,shanghai_china
"Beijing, China",,1960-11-30,"Depestre, journal intime January 2, 1966",1961-02,,Île-en-île,meets with Mao Tse-tung and Chou En-lai,beijing_china
"Moscow, Russia",,1961-02,Île-en-île,1961-02,,Île-en-île,Jacques Stephen Alexis arrives to prepare invasion of Haiti; meets w/Alexis to discuss reconciling 2 factions of Haitian communism,moscow_russia
"Hanoi, Vietnam",,1961-02,Île-en-île,1961-05,,"Chemla, 100",meets with Ho Chi Minh,hanoi_vietnam
"Havana, Cuba",,1961-04,Île-en-île,1961-04,,Île-en-île,is mobilized in the 197th battalion for training in the El Caribe military camp on the northern coast during Bay of Pigs conflict,havana_cuba
"Moscow, Russia",,1962-10,Île-en-île,1962-10,,Île-en-île,returns as correspondent for Revolución,moscow_russia
"Helsinki, Finland",,1962-08-05,"Depestre, Rage de vivre (158)",1962-08-05,,"Depestre, Rage de vivre, 158",,
"Havana, Cuba",,1962-10-28,"Depestre, Rage de vivre (160)",,1964-08-18,"Depestre, journal intime (August 17, 1964)",,havana_cuba
"Prague, Czech Republic",,1964-08,"Depestre, journal intime (August 17, 1964)",,,,,prague_czech_republic
"Moscow, Russia",,1964-07-20,"Depestre, journal intime (September 8, 1965)",,,,,moscow_russia
"Paris, France",,1964-07,"Depestre, journal intime (September 8, 1965)",,,.,,paris_france
"Havana, Cuba",1964-09-27,,"Depestre, journal intime (October 22, 1964)",1965-10-05,,"Depestre, journal intime (October 5, 1965)",participates in Tricontinental (January 1965),havana_cuba
"Moscow, Russia",,,,,,,,moscow_russia
Mexico,,1967-03,,1967-03,,,participates in Segundo Congreso Latinoamericano de Escritores,mexico
"Havana, Cuba",,1967-10,"Depestre, Rage de vivre (241)",,,,"organizes Cultural Congress of Havana January 4-11, 1968; interviews Césaire",havana_cuba
"Algiers, Algeria",,1969-07,Couffon,,1969-07-27,Couffon,covers First Panafrican Cultural Congress of Algers (July 21-31) as journalist for Granma; meets Amadou M'Bow,algiers_algeria
"Havana, Cuba",,1970-05-04,"Depestre, journal intime (May 4, 1970)",1973-07-26,,"Depestre, journal intime (July 26, 1973)","gives lecture on feminism for ""International Day of Women"" at Ministry of Sugar (March 7, 1973) ",havana_cuba
"Quebec, Canada",,1973-08,"Depestre, journal intime (September 1973)",1973-09,,"Depestre, journal intime (September 11, 1973)",meets w/publishers re: Alléluia,quebec_canada
"Havana, Cuba",,1973-09-11,"Depestre, journal intime (September 11, 1973)",1976,,,"pens ""Lettre à Claude Roy"" 1975-12-07 (Rage de vivre 258); gives lecture on feminism for ""International Day of Women"" (August 1975)",havana_cuba
"Kingston, Jamaica",,1976-03,"Depestre, journal intime (July 9, 1976)",1978,,Couffon,"teaches at Mona, University of the West Indies; attends Carifesta (July 23 - August 2, 1976)",kingston_jamaica
"Havana, Cuba",,1976-07-09,"Depestre, journal intime (July 9, 1976)",1978-07,,"Jonassaint, 186.","pens ""Lettre à Claude Roy"" 1975-12-07 (Rage de vivre 258); holds interview w/Jean Jonassaint (July 1978)",havana_cuba
"Kingston, Jamaica",,1976-07,,1982-05-06,,Couffon,"attends Carifesta (July 23 - August 2, 1976); attends gathering at Manley's home where encounters Derek Walcott, Edouard Glissant, Pable Retamar, C.L.R. James; encounters Juan Almeida Bosque",kingston_jamaica
"Havana, Cuba",,1976-08,"Depestre, journal intime (August 1976)",1978,,Couffon,"attends Second Congress of Cuban Writers and Artists (October 10-13, 1977); holds interview w/Jean Jonassaint (July 1978)",havana_cuba
"Paris, France",,1978-09,Couffon,,1982-05-06,,Couffon,paris_france
"Tokyo, Japan",,1984,Couffon,1984,,,Couffon,tokyo_japan
"Paris, France",,1984,Couffon,1985,,,Couffon,paris_france
"Corfu, Greece",,1985,Couffon,1985,,Couffon,,corfu_greece
"Paris, France",,1985,Couffon,1986,,Couffon,,paris_france
"Lézignan-Corbières, France",,1986,Couffon,1991,,,,lezignan_corbieres_france
"Port Louis, Mauritius",,1991,archival photograph,,,,,port_louis_mauritius
"Lézignan-Corbières, France",,2003,,,2005-02-22,Couffon,,lezignan_corbieres_france
"Fort-de-France, Martinique",,,Couffon,2005-02-22,,Sérant,attends events surrounding Aimé Césaire's 90th birthday,fort_de_france_martinique
"Lézignan-Corbières, France",,,Couffon,2005-02-26,,"""Centre Alcibiade Pommayrac""",,lezignan_corbieres_france
"Port-au-Prince, Haiti",,2005-02-22,Sérant,,2005-02-22,Sérant,"gives a talk at l'Institut français d'Haïti in presence of: Lyonel Trouillot, Frankétienne, Syto Cavé, Leslie Manigat, Michel Hector, Gérard Gourgue",port_au_prince_haiti
"Jacmel, Haiti",2005-02-23,2005-02-23,"""Centre Alcibiade Pommayrac""",2005-02-26,,,"attends three-day program of visits, speeches, exhibitions in Jacmel",jacmel_haiti
"Port-au-Prince, Haiti",2005-02-26,2005-02-26,"""Centre Alcibiade Pommayrac""",,,,,port_au_prince_haiti
"Point-à-Pitre, Guadeloupe",,,,2005-06-06,,"Depestre archive, BFM Limoges: letter from RD to Jean-Marie Péan",lectures at the Centre des Arts et de la Culture on 2005-04-25,point_a_pitre_guadeloupe
"Lézignan-Corbières, France",,2005-04,Couffon,2006-09,,,,lezignan_corbieres_france
"True Blue, Grenada",,2006-09,Couffon,,,,lectures at University of Grenada,true_blue_grenada
"Lézignan-Corbières, France",,2006-09,,,,,,lezignan_corbieres_france
