W.E.B. Dubois,webdubois,"scholar, activist",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Great Barrington, Massachusetts, USA",1868-02-23,,"Lewis, Biography of a Race 3",,1883-07,"Lewis, Biography of a Race 16",birth & childhood in Great Barrington,great_barrington_massachusetts_usa
"Hartford, Connecticut, USA",1883-07,,"Lewis, Biography of a Race 44",,1883-07,"Lewis, Biography of a Race","stopover on trip to New Bedford, Massachusetts ",hartford_connecticut_usa
"Providence, Rhode Island",1883-07,,"Lewis, Biography of a Race 44",,1883-07,"Lewis, Biography of a Race 44","visit to a Burghardt (maternal) relative on the way to New Bedford, Massachusetts",providence_rhode_island
"New Bedford, Massachusetts, USA",1883-07,,"Lewis, Biography of a Race 44",,1883-08,"Lewis, Biography of a Race 44",visit to Alexander Du Bois (paternal grandfather),new_bedford_massachusetts_usa
"Providence, Rhode Island",1883-08-01,,"Lewis, Biography of a Race 44",,1883-08,"Lewis, Biography of a Race 44","participates in British Emancipation Day festivities at Rocky Point, Narrangansett Bay",providence_rhode_island
"Great Barrington, Massachusetts, USA",1883-08,,"Lewis, Biography of a Race 63",,1885-09,"Lewis, Biography of a Race 63","returns to Great Barrington, Massachussetts after visit to Alexander Du Bois",great_barrington_massachusetts_usa
"Nashville, Tennessee, USA",1885-09,,"Lewis, Biography of a Race 63",,1886-06,"Lewis, Biography of a Race 67",moves to Nashville to attend Fiske University,nashville_tennessee_usa
"Lebanon, Tennessee, USA",1886-06,,"Lewis, Biography of a Race 67",,1886-08,"Lewis, Biography of a Race 69","spends summer teaching in Wilson County, Tennessee",lebanon_tennessee_usa
"Nashville, Tennessee, USA",1886-09,,"Lewis, Biography of a Race 69",,1887-06,"Lewis, Biography of a Race 69",returns to Fisk,nashville_tennessee_usa
"Alexandria, Tennessee, USA",1887-06,,"Lewis, Biography of a Race 69",,1887-08,"Lewis, Biography of a Race 69","spends summer teaching in Wilson County, Tennesseee",alexandria_tennessee_usa
"Nashville, Tennessee, USA",1887-09,,"Lewis, Biography of a Race 75",,1888-06,"Lewis, Biography of a Race 87",returns to Fisk to finish degree,nashville_tennessee_usa
"Lake Minnetonka, Minnesota, USA",1888-06,,"Lewis, Biography of a Race 87",,1888-08,"Lewis, Biography of a Race 87","summer work in Lake Minetonka, Minnesota",lake_minnetonka_minnesota_usa
"Cambridge, Massachusetts, USA",1888-09,,"Lewis, Biography of a Race 87",,1889-06,"Lewis, Biography of a Race 99","moves to Cambridge, Massachusetts to attend Harvard University",cambridge_massachusetts_usa
"Great Barrington, Massachusetts, USA",1889-06,,"Lewis, Biography of a Race 99",,1889-08,"Lewis, Biography of a Race 99",travels in Massachusetts & Connecticut during Summer 1889; exact itinerary unknown,great_barrington_massachusetts_usa
"Cambridge, Massachusetts, USA",1889-08,,"Lewis, Biography of a Race 99",1890,,"Lewis, Biography of a Race 103",returns to Cambridge for Harvard,cambridge_massachusetts_usa
"Albany, New York, USA",,1890,"Lewis, Biography of a Race 103",1890,,"Lewis, Biography of a Race 103","travels in Summer 1890; only known whereabout is Albany, where he visited half brother Adelbert; exact itinerary unknown",albany_new_york_usa
"Cambridge, Massachusetts, USA",,1890,"Lewis, Biography of a Race 103",1891,,,returns to Cambridge by Fall 1890 for studies at Harvard,cambridge_massachusetts_usa
"Washington, D.C., USA",1891-12,,"Lewis, Biography of a Race 113",,1891-12,"Lewis, Biography of a Race 113",Attends AHA 1891 to present research,washington_dc._usa
"Cambridge, Massachusetts, USA",1891-12,,"Lewis, Biography of a Race 113",1892,,,Returns to Cambridge for studies at Harvard,cambridge_massachusetts_usa
"Amherst, Massachusetts, USA",,1892,"Lewis, Biography of a Race 107",,1892,"Lewis, Biography of a Race 107","while studying at Harvard, makes efforts to reach out to other black college students in New England; details unknown except for visit to Amherst for a graduation ceremony",amherst_massachusetts_usa
"Cambridge, Massachusetts, USA",,1892,"Lewis, Biography of a Race 107",1892,,"Lewis, Biography of a Race 127",returns to Cambridge for studies at Harvard,cambridge_massachusetts_usa
"New York, New York, USA",1892-04,,"Lewis, Biography of a Race 127",1892-04,,"Lewis, Biography of a Race 127",visits New York to speak with Slater Fund regarding graduate funding for PhD at University of Berlin,new_york_new_york_usa
"Cambridge, Massachusetts, USA",1892-04,,"Lewis, Biography of a Race 127",1892-07,,"Lewis, Biography of a Race 127",returns to Cambridge for studies at Harvard,cambridge_massachusetts_usa
"Rotterdam, Netherlands",1892-08-01,,"Lewis, Biography of a Race 127",1892-08,,,arrives in Europe for studies via Rotterdam,rotterdam_netherlands
"Düsseldorf, Germany",1892-08,,"Lewis, Biography of a Race 128",1892-08,,"Lewis, Biography of a Race 128",travels via Düsseldorf to Berlin,dusseldorf_germany
"Frankfurt, Germany",1892-08,,"Lewis, Biography of a Race 128",1892-08,,"Lewis, Biography of a Race 128",disembarks in Frankfurt,frankfurt_germany
"Eisenach, Germany",1892-08,,"Lewis, Biography of a Race 128",,1892-10,"Lewis, Biography of a Race 128",participates in seven-week German language intensive,eisenach_germany
"Weimar, Germany",1892-10,,"Lewis, Biography of a Race 130",,1892-10,"Lewis, Biography of a Race 130","leaves Eisenach on second Saturday in October 1892 to start studies in Berlin, via Weimar and Leipzig",weimar_germany
"Leipzig, Germany",1892-10,,"Lewis, Biography of a Race 130",,1892-10,"Lewis, Biography of a Race 130","leaves Eisenach on second Saturday in October 1892 to start studies in Berlin, via Weimar and Leipzig",leipzig_germany
"Berlin, Germany",1892-10,,"Lewis, Biography of a Race 131",,1892-12,"Lewis, Biography of a Race 137",arrives in Berlin by 1892-10-17,berlin_germany
"Weimar, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,1892-12,"Lewis, Biography of a Race 137",travels with friends over Christmas break,weimar_germany
"Frankfurt, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,frankfurt_germany
"Mannheim, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,mannheim_germany
"Heidelberg, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,heidelberg_germany
"Pfalz, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,pfalz_germany
"Neustadt, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,neustadt_germany
"Strasbourg, France",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,strasbourg_france
"Stuttgart, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,stuttgart_germany
"Munich, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,munich_germany
"Nuremberg, Germany",,1892-12,"Lewis, Biography of a Race 137",1893,,"Lewis, Biography of a Race 137",travels with friends over Christmas break,nuremberg_germany
"Prague, Czech Republic",,1892-12,"Lewis, Biography of a Race 143",1893,,"Lewis, Biography of a Race 143",travels with friends over Christmas break,prague_czech_republic
"Dresden, Germany",,1892-12,"Lewis, Biography of a Race 143",1893,,"Lewis, Biography of a Race 143",travels with friends over Christmas break,dresden_germany
"Berlin, Germany",,1893,"Lewis, Biography of a Race 137",,1893-03,"Lewis, Biography of a Race 137",returns to Berlin for studies,berlin_germany
"Lübeck, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,travels with friends over Spring Break,lubeck_germany
"Hamburg, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,travels with friends over Spring Break,hamburg_germany
"Bremen, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,,travels with friends over Spring Break,bremen_germany
"Kassel, Germany",,1893-03,"Lewis, Biography of a Race 143",1893-04,,"Lewis, Biography of a Race 143",travels with friends over Spring Break,kassel_germany
"Berlin, Germany",1893-04,,"Lewis, Biography of a Race 143",1893-08,,"Lewis, Biography of a Race 143",returns to Berlin for studies,berlin_germany
Switzerland,,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,switzerland
"Rome, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,rome_italy
"Naples, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,naples_italy
"Venice, Italy",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,venice_italy
"Vienna, Austria",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,vienna_austria
"Budapest, Hungary",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,budapest_hungary
"Tatra Mountains, Czech Republic",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,tatra_mountains_czech_republic
"Krakow, Poland",,1893-08,"Lewis, Biography of a Race 143",,,,travels with friends over Summer Recess,krakow_poland
"Breslau, Germany",1893-09,,"Lewis, Biography of a Race 143",,1893-09,"Lewis, Biography of a Race 143",travels with friends over Summer Recess,breslau_germany
"Dresden, Germany",1893-09,,"Lewis, Biography of a Race 143",,1893-09,"Lewis, Biography of a Race 143",travels with friends over Summer Recess,dresden_germany
"Berlin, Germany",1893-09,,"Lewis, Biography of a Race 143",1894,,"Lewis, Biography of a Race 148",arrives back in Berlin in late September to write dissertation outline,berlin_germany
"Magdeburg, Germany",,1894,"Lewis, Biography of a Race 148",1894,,"Lewis, Biography of a Race 148",loses funding for German PhD; leaves Berlin,magdeburg_germany
"Halberstadt, Germany",,1894,"Lewis, Biography of a Race 148",1894,,"Lewis, Biography of a Race 148",travels on his way back to U.S. ,halberstadt_germany
"Paris, France",1894-05,,"Lewis, Biography of a Race 148",,1894-05,"Lewis, Biography of a Race 148",travels on his way back to U.S. ,paris_france
"London, England",1894-05,,"Lewis, Biography of a Race 148",,1894-05,"Lewis, Biography of a Race 148",travels on his way back to U.S. ,london_england
"New York, New York, USA",1894-06,,"Lewis, Biography of a Race 159",,,,returns to U.S.,new_york_new_york_usa
"Great Barrington, Massachusetts, USA",1894-06,,"Lewis, Biography of a Race 159",,1894-08,"Lewis, Biography of a Race 159","goes home to Great Barrington, Massachusetts to look for teaching position",great_barrington_massachusetts_usa
"Wilberforce, Ohio, USA",1894-08,,"Lewis, Biography of a Race 159",1896,,"Lewis, Biography of a Race 182",takes teaching position in Classics at Wilberforce University,wilberforce_ohio_usa
"Cedar Rapids, Iowa, USA",1896-05,,"Lewis, Biography of a Race 182",1896-05,,"Lewis, Biography of a Race 182","trip to Ceder Rapids, Iowa to marry Nina Gomer",cedar_rapids_iowa_usa
"Wilberforce, Ohio, USA",1896-05,,"Lewis, Biography of a Race 193",1896,,"Lewis, Biography of a Race 193",Du Bois leaves Wilberforce for Philadelphia by August,wilberforce_ohio_usa
"Philadelphia, Pennsylvania, USA",,1896,"Lewis, Biography of a Race 182",,,,arrives summer 1896 for work on The Philadelphia Negro,philadelphia_pennsylvania_usa
"Washington, D.C., USA",1897-03-05,,"Lewis, Biography of a Race 174",1897-03-06,,"Lewis, Biography of a Race 174",attends startup meeting of Alexander Crummell's American Negro Academy & hoped to meet with U.S. Labor Commissioner about a job,washington_dc._usa
"Philadelphia, Pennsylvania, USA",,1897-07,"Lewis, Biography of a Race 195",,1897-07,"Lewis, Biography of a Race 193",returns to work in Philadelphia after academy meeting & visit to DC,philadelphia_pennsylvania_usa
"Farmville, Virginia, USA",1897-07,,"Lewis, Biography of a Race 195",,1897-07,"Lewis, Biography of a Race 195","research study on black people in Farmville, VA",farmville_virginia_usa
"Norfolk, Virginia, USA",1897-07,,"Lewis, Biography of a Race 207",,1897-07,"Lewis, Biography of a Race 207",presentation of research at Hampton Institute in Norfolk,norfolk_virginia_usa
"Farmville, Virginia, USA",1897-07,,"Lewis, Biography of a Race 195",,1897-08,"Lewis, Biography of a Race 195","continues research study on black people in Farmville, VA",farmville_virginia_usa
"Philadelphia, Pennsylvania, USA",1897-08,,"Lewis, Biography of a Race 195",,1897-10,"Lewis, Biography of a Race 193",continues research in Philadelphia for The Philadelphia Negro,philadelphia_pennsylvania_usa
"Great Barrington, Massachusetts, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193","visit to Great Barrington, where Nina had given birth to son",great_barrington_massachusetts_usa
"Philadelphia, Pennsylvania, USA",1897-10,,"Lewis, Biography of a Race 193",,1897-10,"Lewis, Biography of a Race 193",rushes away from newborn and wife to Philadelphia after two days,philadelphia_pennsylvania_usa
"Atlanta, Georgia, USA",,1897-12-24,"Lewis, Biography of a Race 211",,1898-06,"Lewis, Biography of a Race 263","the Du Bois family celebrates Christmas in their new home in Atlanta where Du Bois began a teaching position at Atlanta University on January 1, 1898",atlanta_georgia_usa
"Nashville, Tennessee, USA",1898-06,,"Lewis, Biography of a Race 263",,1898-06,"Lewis, Biography of a Race 263","delivers commencement speechat Fisk on June 15, 1898",nashville_tennessee_usa
"Atlanta, Georgia, USA",1898-06,,"Lewis, Biography of a Race 263",,1899-03,"Lewis, Biography of a Race 263",returns to Atlanta University for work,atlanta_georgia_usa
"Boston, Massachusetts, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",fundraising tour for Atlanta University in New England; meets Booker T. Washington,boston_massachusetts_usa
"Atlanta, Georgia, USA",1899-03,,"Lewis, Biography of a Race 243",,1899-03,"Lewis, Biography of a Race 243",continues work at Atlanta University,atlanta_georgia_usa
"Great Barrington, Massachusetts, USA",1899-05,,"Lewis, Biography of a Race 243",,1899-05,"Lewis, Biography of a Race 243","buries son Burghardt in Great Barrington, Massachusetts",great_barrington_massachusetts_usa
"Atlanta, Georgia, USA",1899-05-30,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",returns to Atlanta six days after burying son to preside over Atlanta Studies conference,atlanta_georgia_usa
"Chicago, Illinois, USA",1899-08,,"Lewis, Biography of a Race 243",,1899-08,"Lewis, Biography of a Race 243",attends National Afro-American Council meeting in Chicago where he defends Booker T. Washington,chicago_illinois_usa
"Atlanta, Georgia, USA",1899-08,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243",continues work at Atlanta University,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243","spends two days visiting Tuskegee University & Booker T. Washington, contemplating job there",tuskegee_alabama_usa
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",returns to Atlanta University deciding not to take Tuskeegee position,atlanta_georgia_usa
"Washington, D.C., USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",attends American Negro Academy meeting,washington_dc._usa
"Atlanta, Georgia, USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",returns to Atlanta University to continue work,atlanta_georgia_usa
"Savannah, Georgia, USA",1900-02-20,,"Lewis, Biography of a Race 243",,,,attends meeting of Paris Exposition commissioners,savannah_georgia_usa
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-06,"Lewis, Biography of a Race 249",returns to Atlanta University to continue work,atlanta_georgia_usa
"New York, New York, USA",1900-06,,"Lewis, Biography of a Race 249",,1900-06,"Lewis, Biography of a Race 249",leaves for New York en route to Europe,new_york_new_york_usa
"Paris, France",1900-06,,"Lewis, Biography of a Race 249",,1900-07,"Lewis, Biography of a Race 249",travels to Europe for Paris Exposition for two months,paris_france
"London, England",1900-07-23,,"Lewis, Biography of a Race 249",,1900-07-25,"Lewis, Biography of a Race 249","attends First Pan-African Congress; do not have exact dates for London arrival/departure, just for the PAC itself",london_england
"Atlanta, Georgia, USA",1900-08,,"Lewis, Biography of a Race 257",,1901-02,"Lewis, Biography of a Race 249",returns to Atlanta for work,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1901-02,,"Lewis, Biography of a Race 249",,1901-02,"Lewis, Biography of a Race 249",attends two-day Tuskegee Conference,tuskegee_alabama_usa
"Atlanta, Georgia, USA",1901-02,,"Lewis, Biography of a Race 249",,1902-12,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"St. Paul, Minnesota, USA",,1902,"Lewis, Biography of a Race 299",,,,meeting of Afro-American Council,st_paul_minnesota_usa
"New York, New York, USA",1902-12,,"Lewis, Biography of a Race 276",,1902-12,"Lewis, Biography of a Race 276",meets with Booker T. Washington ,new_york_new_york_usa
"Atlanta, Georgia, USA",1902-12,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",attends the 1903 interracial conference,new_york_new_york_usa
"Atlanta, Georgia, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-06,"Lewis, Biography of a Race 276",returns to Atlanta for work,atlanta_georgia_usa
"Tuskegee, Alabama, USA",1903-06,,"Lewis, Biography of a Race 299",,1903-07,"Lewis, Biography of a Race 299",Lectures at Tuskegee Summer Session,tuskegee_alabama_usa
"Boston, Massachusetts, USA",1903-08,,"Lewis, Biography of a Race 305",,1903-08,"Lewis, Biography of a Race 276","arrives several days after the ""Boston Riot"" on July 30,1903",boston_massachusetts_usa
"Bar Harbor, Maine, USA",1903-08,,"Lewis, Biography of a Race 276",,1903-08,"Lewis, Biography of a Race 276",lectures on Atlanta University Studies,bar_harbor_maine_usa
"Atlanta, Georgia, USA",1903-08,,"Lewis, Biography of a Race 276",,,,Returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1904-01,,"Lewis, Biography of a Race 305",,1904-01,"Lewis, Biography of a Race 305","attends conference of black leaders (January 6-8, 1904)",new_york_new_york_usa
"Boston, Massachusetts, USA",1904-01,,"Lewis, Biography of a Race 356",,1904-01,"Lewis, Biography of a Race 356",goes to Boston to fundraise for Atlanta University,boston_massachusetts_usa
"Atlanta, Georgia, USA",1904-01,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",returns to Atlanta for work,atlanta_georgia_usa
"New York, New York, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",attends Committee of Twelve meeting before resigning,new_york_new_york_usa
"Atlanta, Georgia, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-10,"Lewis, Biography of a Race 319",returns to Atlanta for work,atlanta_georgia_usa
"Des Moines, Iowa, USA",,1904-10-18,"Lewis, Biography of a Race 319",,,,"speaks on October 18, 1904 to American Missionary Association",des_moines_iowa_usa
"Atlanta, Georgia, USA",1904-10,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",returns to Atlanta for work,atlanta_georgia_usa
"Fort Erie, Canada",1905-07,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",founds Niagara Movement,fort_erie_canada
"Atlanta, Georgia, USA",1905-07,,"Lewis, Biography of a Race 319",,1906-08,"Lewis, Biography of a Race 330",returns to Atlanta for work,atlanta_georgia_usa
"Hampton, Virginia, USA",,1906-07-30,"Lewis, Biography of a Race 352",,,,addresses Hampton Institute ,hampton_virginia_usa
"Harper's Ferry, West Virginia, USA",1906-08-15,,"Lewis, Biography of a Race 330",,1906-08,"Lewis, Biography of a Race 330",Second Niagara Movement meeting,harper's_ferry_west_virginia_usa
"Lowndes County, Alabama, USA",1906-08,,"Lewis, Biography of a Race 336",,1906-09,"Lewis, Biography of a Race 336","research for Census Bureau, late August-late September (was there when he learned of Atlanta Race Riot, September 22-24)",lowndes_county_alabama_usa
"Atlanta, Georgia, USA",1906-09,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",rushes to Atlanta upon hearing news of riot,atlanta_georgia_usa
"Lowndes County, Alabama, USA",1906-11,,"Lewis, Biography of a Race 356",,1906-11,"Lewis, Biography of a Race 356",shuttles back and forth between Lowndes County and Atlanta in November 1906,lowndes_county_alabama_usa
"Atlanta, Georgia, USA",1906-11,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",shuttles back and forth between Lowndes County and Atlanta in November 1907,atlanta_georgia_usa
"New York, New York, USA",1907-01,,"Lewis, Biography of a Race 369",,1907-02,"Lewis, Biography of a Race 369",fundraising tour for Atlanta University with Northern audiences,new_york_new_york_usa
"Chicago, Illinois, USA",1907-02,,"Lewis, Biography of a Race 339",,1907-02,"Lewis, Biography of a Race 369",visits Jane Adams' Hull House ,chicago_illinois_usa
