Eslanda Goode Robeson,erobeson,"anthropologist, journalist, activist",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
London,,England,1925-08-11,,"
Ransby, Eslanda, 49",,1925-10,Ransby 51,,,
Paris,,France,,1925-08-24,Ransby 304,1925-08-28,,Ransby 304,,,
Villefranche,,France,1925-10,,Ransby 51,,1925-12-16,Ransby 55,,,
New York City,,United States,1925-12-22,,Ransby 55,,1928-05,Ransby 60,,,
London,,England,1928-05,,Ransby 60,,1930-03,Ransby 63,,,
Prague,,Czech Republic,1930-01,,Ransby 283,,,,,,
Bucharest,,Romania,1930-01,,Ransby 283,,,,,,
Dresden,,Germany,1930-01,,Ransby 283,,,,,,
Düsseldorf,,Germany,1930-01,,Ransby 283,,,,,,
Cologne,,Germany,1930-01,,Ransby 283,,,,,,
Brno,,Czech Republic,1930-01,,Ransby 283,,,,,,
Chernivtsi,,Ukraine,1930-01,,Ransby 283,,,,,,
Vienna,,Austria,1930-01,,Ransby 283,,,,,,
Territet,,Switzerland,1930-03,,Ransby 63,,1930-03,Ransby 63,,,
,,Scotland,1930-03,,Ransby 63,,,,Essie and Paul went on a concert tour in Scotland in late March. No return date given but most likely March or April 1930,,
London,,England,,1930-09,Ransby 65,,,,,,
,South Carolina,United States,,1931-03,Ransby 306,1931-04,,Ransby 306,,,
Kitzbuhel,Tyrol,Austria,,1931-09-06,Ransby 307,1931-11,,,Essie was in Kitzbuhel for 2 months,,
Paris,,France,1932-06-03,,Ransby 70,,1932-06-21,Ransby 74,,,
London,,England,1932-06,,Ransby 74,,,,,,
Paris,,France,,1932-09-29,Ransby 310,1932-10-02,,Ransby 310,,,
London,,England,,1932-10,Ransby 310,,1934-12-21,Ransby 92,,,
Berlin,,Germany,1934-12-21,,Ransby 93,,1934-12-21,Ransby 93,Daylong layover in Berlin en route from London to Moscow,,
Moscow,,Russia,1934-12-22,,Ransby 93,,1935-01,Ransby 95,,,
London,,England,1935-01,,Ransby 96,,1935-09,Ransby 96,,,
California,,United States,1935,,Ransby 96,1935-11-21,,,Dates ambiguous. Arrival in California most likely in September of October 1935. Date of return to London unclear.,,
Madeira,,Portugal,1936-06-02,,"Robeson, African Journey, 24",,1936-06-02,Robeson 25,,,
Dakar,,Senegal,1936-06-04,,Robeson 24,,,,No departure date indicated,,
,,Liberia,1936-06-07,,Robeson 28,,1936-06-07,Robson 28,,,
Capetown,,South Africa,1936-06-15,,Robeson 32,,1936-06-17,Robeson 41,,,
Port Elizabeth,,South Africa,1936-06-19,,Robeson 42,,1936-06-26,Robeson 49,,,
Bloemfontein,,South Africa,1936-06-26,,Robeson 49,,1936-06-28,Robeson 54,,,
,,Lesotho,1936-06-28,,Robeson 54,,1936-06-28,Robeson 72,,,
Bloemfontein,,South Africa,1936-06-28,,Robeson 57,,1936-07-02,Robeson 65,,,
Johannesburg,,South Africa,1936-07-02,,Robeson 65,,1936-07-07,Robeson 77,,,
Maputo,,Mozambique,1936-07-07,,Robeson 77,,1936-07-10,Robeson 77,,,
Dar-Es-Salaam,,Tanzania,1936-07-13,,Robeson 80,,1936-07-13,Robeson 80,,,
,,Zanzibar,1936-07-14,,Robeson 80,,1936-07-14,Robeson 80,,,
Mombasa,,Kenya,1936-07-15,,Robeson 81,,1936-07-16,Robeson 83,,,
Kampala,,Uganda,1936-07-17,,Robeson 86,,1936-07-17,Robeson 86,,,
Kabarole,,Uganda,1936-07-18,,Robeson 89,,1936-08-05,Robeson 113,,,
Mbeni,,Democratic Republic of Congo,1936-08-05,,Robeson 118,,1936-08-06,Robeson 126,,,
Entebbe,,Uganda,1936-08-16,,Robeson 144,,1936-08-17,Robeson 145,,,
Juba,,Republic of South Sudan,1936-08-17,,Robeson 145,,1936-08-18,Robeson 145,Layover,,
Khartoum,,Sudan,1936-08-18,,Robeson 146,,1936-08-19,,Layover,,
Luxor,,Egypt,1936-08-19,,Robeson 147,,1936-08-20,Robeson 148,Layover,,
Alexandria,,Egypt,1936-08-20,,Robeson 148,,1936-08-21,Robeson 150,Layover,,
London,,England,1936-08-25,,Robeson 152,,,,,,
Valencia,,Spain,1938-01-21,,Ransby 127,,,,Date of return to England unclear,,
New York City,,United States,1939-10,,Ransby 137,,1940-08,,,,
Puerto Limón,,Costa Rica,,1940-08-30,Ransby 322,,,,,,
,,Mexico,1940-09,,Ransby 140,,1940-09-05,,,,
Ennfield,Connecticut,United States,1941-06,,Ransby 137,,1946-05-22,"Robeson, Congo Diary",,,
Kinshasa,,Democratic Republic of Congo,1946-05-25,,"Robeson, Congo Diary",,1946-06-04,"Robeson, Congo Diary",,,
Brazzaville,,Republic of Congo,1946-06-05,,"Robeson, Congo Diary",,1946-06-06,"Robeson, Congo Diary",,,
Kinshasa,,Democratic Republic of Congo,1946-06-06,,"Robeson, Congo Diary",,1946-06-11,"Robeson, Congo Diary",,,
Brazzaville,,Republic of Congo,1946-06-11,,"Robeson, Congo Diary",,1946-06-12,"Robeson, Congo Diary",,,
Kinshasa,,Democratic Republic of Congo,1946-06-12,,"Robeson, Congo Diary",,1946-06-18,"Robeson, Congo Diary",,,
Bangui,,Central African Republic,1946-06-18,,"Robeson, Congo Diary",,1946-06-24,"Robeson, Congo Diary",,,
Bangassou,,Central African Republic,1946-06-25,,"Robeson, Congo Diary",,1946-07-06,"Robeson, Congo Diary",,,
Fort Lamy,,Chad,1946-07-06,,"Robeson, Congo Diary",,1946-07-12,"Robeson, Congo Diary",,,
Bangui,,Central African Republic,1946-07-13,,"Robeson, Congo Diary",,1946-07-14,"Robeson, Congo Diary",,,
Brazzaville,,Republic of the Congo,1946-07-14,,"Robeson, Congo Diary",,1946-07-15,"Robeson, Congo Diary",,,
Kinshasa,,Democratic Republic of Congo,1946-07-15,,"Robeson, Congo Diary",,1946-07-29,"Robeson, Congo Diary",,,
Lubumbashi,,Democratic Republic of Congo,1946-07-29,,"Robeson, Congo Diary",,1946-08-07,"Robeson, Congo Diary",,,
Bujumbura,,Burundi,1946-08-07,,"Robeson, Congo Diary",,,"Robeson, Congo Diary",Date of departure unclear,,
Montreal,,Canada,,1947-01-23,Mi5 Files,,1947-01-23,Mi5 Files,,,
Moscow,,Russia,1949-11-01,,"Ransby, 288",,,,,,
Beijing,,China,1949-12,,"Ransby, 198",,1950-01,Ransby 199,,,
,,United States,1950-01,,Ransby 199,,1958-04,Ransby 236,The U.S. government denied Essie a passport because she would not sign an affidavit stating that she was not a communist,,
Port of Spain,,Trinidad,1949-04,,Ransby 236,1949-04-29,,Ransby 337,,,
London,,England,1958-07,,Ransby 239,,,,London remained Essie's home base for the next 7-8 years,,
Moscow,,Russia,1958-08,,Ransby 240,1958-12-31,,,The Robesons' visit to Russia lasted for about a month. Departure date unclear,,
,,Uzbekistan,1958,,Ransby 275,,,,Precise dates unclear,,
Accra,,Ghana,1958-12-08,,Ransby 242,,1958-12-12,Ransby 339,Not entirey sure about the departure day but the month was December,,
,,"Czechoslovakia, Austria, and Romania
",1959-06,,Ransby 288,,1959-08,Ransby 288,,,
Sydney,,Australia,1960-10,,Ransby 251,1960-11-10,,Ransby 251,,,
,,New Zealand,1960-11,,Ransby 251,,,,,,
Barvikha,,Russia,1961-05,,Ransby 253,,1961-06,Ransby 253,,,
Berlin,,Germany,1963-07,, Ransby 267,,,,Date of return to London unclear,,
Berlin,,Germany,1963-08,,Ransby 268,,,,Date of return to London unclear,,
New York City,,United States,1963-12,,Ransby 272,,,,,,